Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector
0,0.0015364563585410001,2.2937884209560504e-05,0.070298077108322,0.9919488026424441,2.9961464354527942,6.872683645952044e-05,378.73958986139934,2.189902743370951,2.928020919350399,43596,65310,14,-0.12466427946778201,0.9960971851687531,CenturyLink_Normal,0,rrc06
1,0.0015366253040230001,2.2935253778583034e-05,0.07030868833294901,0.9900002293525371,2.995802848558519,6.871107450822291e-05,378.67115247498936,2.18985803077911,2.926882410953877,43601,65310,14,-0.124627178503489,0.9960971252288551,CenturyLink_Normal,0,rrc06
2,0.0015366417087470002,2.2933675809558765e-05,0.070365153373803,0.9900238510228421,2.995596734244564,6.870161994001706e-05,378.712930943823,2.189913769378956,2.926382900651316,43604,65310,14,-0.124612262493347,0.9960968376316721,CenturyLink_Normal,0,rrc06
3,0.0015370316268980002,2.2933675809558765e-05,0.070346019316949,0.9875011466837901,2.9952297954316123,6.869320449124169e-05,378.6505162346547,2.189799100999908,2.925717824052839,43604,65302,14,-0.124655446273047,0.9960965379683441,CenturyLink_Normal,0,rrc06
4,0.0015366683995580001,2.2931572188589252e-05,0.070324035120506,0.9889240506329111,2.995734727572922,6.869848252741355e-05,378.67722796537555,2.18985048614933,2.9265272427077598,43608,65319,14,-0.12464881690734901,0.9960979715652941,CenturyLink_Normal,0,rrc06
5,0.0015361653894340002,2.2929994726101223e-05,0.07031859238348301,0.989475132420719,2.99552865102841,6.868903120908991e-05,378.65850015274987,2.189883286326844,2.9262571369608583,43611,65319,14,-0.124641521723216,0.9960985031928011,CenturyLink_Normal,0,rrc06
6,0.0015354081812860001,2.2928943205007693e-05,0.070647328372476,0.999885355283974,2.995758145507073,6.869114338959628e-05,378.75367008422205,2.191296173159379,2.924747208401164,43613,65327,14,-0.124606334582746,0.9960996896564481,CenturyLink_Normal,0,rrc06
7,0.001536312030382,2.2929468953499023e-05,0.070268217566159,0.989658809501971,2.9956434008988353,6.869008738389021e-05,378.8926373348086,2.189764285059158,2.9268779235072913,43612,65323,14,-0.124626011307622,0.99609978759387,CenturyLink_Normal,0,rrc06
8,0.0015362057756220001,2.2927891780350783e-05,0.070253234215671,0.9913103290152471,2.995299782185028,6.867748388556491e-05,378.73210510243973,2.189728304482403,2.927112232030265,43615,65320,14,-0.12464820095598901,0.9960980498193971,CenturyLink_Normal,0,rrc06
9,0.0015362459589400002,2.2925263640531882e-05,0.07028846327600001,0.9896377808344791,2.995093993580926,6.866489359180463e-05,378.86310331252497,2.189706556625401,2.926341127922971,43620,65323,14,-0.124627395815877,0.9960992486621341,CenturyLink_Normal,0,rrc06
10,0.0015357569114150002,2.292578922029391e-05,0.070847327716253,1.005639744148192,2.9954836195236023,6.867540051179792e-05,378.9872174103251,2.192003484719961,2.923932231367065,43619,65330,14,-0.12455298985964601,0.9961006496748581,CenturyLink_Normal,0,rrc06
11,0.001535315318698,2.2924738084867394e-05,0.07062511330621901,1.000229247380848,2.995392127644941,6.867015423303397e-05,378.7666288922945,2.191238165103963,2.924761009605465,43621,65331,14,-0.12463321560885,0.9960988417624741,CenturyLink_Normal,0,rrc06
12,0.0015351083121750001,2.2924738084867383e-05,0.07073310067530801,1.000596043190206,2.995300428692602,6.866805201037601e-05,378.7209228146805,2.191444487746727,2.924371289058022,43621,65329,14,-0.12460138037492301,0.996097555089501,CenturyLink_Normal,0,rrc06
13,0.0015358797968550001,2.2925789220293903e-05,0.070394096882102,0.9906462779981201,2.995254361631399,6.867014447318537e-05,378.65199308323645,2.189986015268575,2.926476993970517,43619,65325,14,-0.12467882914003502,0.9960976679197531,CenturyLink_Normal,0,rrc06
14,0.0015346106946640002,2.2925789220293933e-05,0.070731942805504,1.007221623604392,2.99530021320984,6.86711956809079e-05,378.748526812665,2.192072262087622,2.923015199798253,43619,65326,14,-0.12458341765528201,0.9960985397325021,CenturyLink_Normal,0,rrc06
15,0.001535597304826,2.2924212553298793e-05,0.070381001343664,0.9906927697033601,2.995506854339553,6.867121006715924e-05,378.7045719944309,2.18992710100408,2.926917610380083,43622,65335,14,-0.12464990165765301,0.9960988558932831,CenturyLink_Normal,0,rrc06
16,0.00153516631089,2.292263610315187e-05,0.07071676845840101,1.002177650429799,2.995484240687679,6.866596920703465e-05,378.57402821714686,2.191426934097421,2.9248366762177653,43625,65339,14,-0.124625154377481,0.9960970498286651,CenturyLink_Normal,0,rrc06
17,0.001534613766594,2.292000916800368e-05,0.070650086381031,1.00080220032088,2.995095118038047,6.864918100433309e-05,378.58599090559716,2.191336236534495,2.92434104973642,43630,65338,14,-0.12463131810955101,0.996097315176473,CenturyLink_Normal,0,rrc06
18,0.001535146917748,2.2916332470151472e-05,0.070447075200032,0.992391777619909,2.995668813163141,6.86513157292864e-05,378.7444262218785,2.190090977839906,2.9270802300799783,43637,65361,14,-0.12465084410950102,0.9960989442063851,CenturyLink_Normal,0,rrc06
19,0.001534882997362,2.2917382834880294e-05,0.070366348577512,0.9903976165921851,2.99521026698751,6.864395349927834e-05,378.6234324487093,2.189870516786983,2.926366448951529,43635,65348,14,-0.12459331548463501,0.9960980444842511,CenturyLink_Normal,0,rrc06
20,0.00153496913715,2.2917382834880253e-05,0.070445107063725,0.9910393033115611,2.995531110347198,6.865130655789519e-05,378.6251228334969,2.190008021083992,2.926641457545548,43635,65355,14,-0.12462033159465401,0.996098429073703,CenturyLink_Normal,0,rrc06
21,0.0015351407582830001,2.291633247015149e-05,0.070473494932331,0.9905584710222971,2.9954396498384392,6.864606402599782e-05,378.6473279168909,2.190022228842496,2.926346907440933,43637,65356,14,-0.12462565834720302,0.9960985948291391,CenturyLink_Normal,0,rrc06
22,0.001535174317287,2.2913706979515162e-05,0.070477409768072,0.9909261720361121,2.995325603776179,6.863558588887006e-05,378.7021887646131,2.18997754456716,2.926584482837633,43642,65361,14,-0.12464226390798301,0.9960997684959201,CenturyLink_Normal,0,rrc06
23,0.0015353891933440002,2.2912656951700142e-05,0.070561879281181,0.9911098891027401,2.99555494455137,6.863769549644548e-05,378.9018239472922,2.190152140042159,2.926129593987719,43644,65369,14,-0.12465164535810101,0.996102262177412,CenturyLink_Normal,0,rrc06
24,0.00153533910295,2.2912131973880155e-05,0.070481227660353,0.9911788291900561,2.99580707984878,6.864189991404958e-05,378.98112538372294,2.190033222591362,2.92695612326727,43645,65376,14,-0.124648922777308,0.9961032660717171,CenturyLink_Normal,0,rrc06
25,0.001535466412412,2.291108209040707e-05,0.070463058984016,0.9923935207459841,2.996402960111806,6.86524070959952e-05,379.0428077817168,2.190093248104108,2.92799046898985,43647,65392,14,-0.124640953167213,0.996102192510752,CenturyLink_Normal,0,rrc06
26,0.001535485818882,2.2909507445589933e-05,0.07052186664136101,0.9924627720504001,2.996288659793814,6.864506998542497e-05,378.98338613332635,2.190126002290951,2.927995418098511,43650,65394,14,-0.12462900049236601,0.9961013954350181,CenturyLink_Normal,0,rrc06
27,0.0015343827110010002,2.2908982612082214e-05,0.070840307121008,1.00242835215688,2.996540743625575,6.864927247710369e-05,379.04273742627464,2.191542003619619,2.9263476209021553,43651,65401,14,-0.12458319293521901,0.9961024090081361,CenturyLink_Normal,0,rrc06
28,0.001534257639924,2.2907933017203874e-05,0.070997209591854,1.003184202689391,2.9968157973106093,6.865242823491727e-05,379.10389793212494,2.191716491420979,2.9266487984789133,43653,65410,14,-0.12457995222213201,0.996103441969522,CenturyLink_Normal,0,rrc06
29,0.001534568624546,2.290793301720385e-05,0.070974303627704,1.002244977435686,2.996769981444574,6.865137866408353e-05,378.98205478796166,2.19162485968891,2.926580074679862,43653,65409,14,-0.124621608148977,0.996101803079223,CenturyLink_Normal,0,rrc06
30,0.0015352176268550002,2.290530945073071e-05,0.070637196794473,0.9921892894773001,2.997251362865912,6.865454252160965e-05,379.0051826630729,2.190159879059966,2.92915387786889,43658,65427,14,-0.12459152936293001,0.9961022397868101,CenturyLink_Normal,0,rrc06
31,0.0015341986062370001,2.2901637467078893e-05,0.070955261158231,1.001557311347761,2.997320508416352,6.864511974203812e-05,379.0223663125079,2.191549295774648,2.9270582846673543,43665,65439,14,-0.124538172895074,0.9961031875507801,CenturyLink_Normal,0,rrc06
32,0.0015349058431630002,2.289901534234026e-05,0.070669054377841,0.9910235859858021,2.997710098465766,6.864618146661858e-05,379.16691839851217,2.190153423402793,2.929264941607511,43670,65455,14,-0.12456422167316901,0.9961042358987381,CenturyLink_Normal,0,rrc06
33,0.0015339783375780001,2.2897966660560552e-05,0.070921840913966,1.002564572265982,2.997481223667338,6.86377967911735e-05,379.04928966016297,2.191564389082249,2.927413445686023,43672,65453,14,-0.124551294680592,0.996103232168668,CenturyLink_Normal,0,rrc06
34,0.001533943111662,2.2896393817973653e-05,0.07092380364308601,1.001625643961076,2.997779049799656,6.863990130969584e-05,379.11542196791805,2.191619919862622,2.927281053234115,43675,65464,14,-0.124514315124055,0.996104243270797,CenturyLink_Normal,0,rrc06
35,0.0015334130957570002,2.289429703060968e-05,0.071033795925364,1.002609949861489,2.997687675999908,6.863152332982071e-05,379.1382761903077,2.191785526225417,2.9271503468485998,43679,65468,14,-0.12451279176304,0.9961061162429101,CenturyLink_Normal,0,rrc06
36,0.001534365824005,2.2894297030609654e-05,0.07059901580618701,0.991071224158062,2.997504521623663,6.862733004312615e-05,378.94471811116904,2.190091348245152,2.9289818906110483,43679,65464,14,-0.124579762305557,0.9961033152415821,CenturyLink_Normal,0,rrc06
0,0.00161954165118,2.4088259382377045e-05,0.070595279145128,0.87941417353182,2.9262899262899262,7.04909287762852e-05,584.238417031233,2.181721828780652,2.840222575516693,41514,60741,13,-0.125815094551294,0.9971990268046501,Rostelecom_Normal,0,rrc06
1,0.001620156854535,2.40865187754414e-05,0.06968718379713801,0.8564925211359201,2.926512031216128,7.049118487369034e-05,584.1789376798123,2.176867307368066,2.851651130862056,41517,60750,13,-0.125916842773264,0.9971983231629771,Rostelecom_Normal,0,rrc06
2,0.00161926355243,2.408245833734711e-05,0.070458282535884,0.8799007802716501,2.9269338214044893,7.048945936961416e-05,584.3217327951439,2.181533570946922,2.838767941431461,41524,60769,13,-0.125843480128387,0.9971999211338841,Rostelecom_Normal,0,rrc06
3,0.001619966857611,2.4077819512664893e-05,0.070572624374657,0.87893672349032,2.926658961764422,7.046926300268288e-05,584.3330913993433,2.181691226042569,2.83800443031879,41532,60775,13,-0.12589167031852902,0.9972009680528551,Rostelecom_Normal,0,rrc06
4,0.0016193619043090002,2.4074921154633223e-05,0.07054745411363901,0.8790235211979681,2.92678816476876,7.04638907157348e-05,584.0468155763589,2.181669355032862,2.8380720803139363,41537,60785,13,-0.12585827418860102,0.997199583261501,Rostelecom_Normal,0,rrc06
5,0.001618415309994,2.4069126531398172e-05,0.07047293037510001,0.8740221917346621,2.927624136520085,7.046705185866474e-05,583.998417965115,2.1813849375406162,2.837124220762028,41547,60817,13,-0.12578960604758502,0.9971980928584561,Rostelecom_Normal,0,rrc06
6,0.001618582129369,2.40668094630695e-05,0.07067989562255,0.884310846911025,2.927919905658107,7.04673864177643e-05,583.9191233820618,2.181969146350268,2.8407499217828693,41551,60829,13,-0.125796615863354,0.9971992509910631,Rostelecom_Normal,0,rrc06
7,0.0016182619181040001,2.4066230265691185e-05,0.070576893660762,0.8808480939545631,2.927512514439738,7.04558858857726e-05,583.721371236685,2.181796303427031,2.838443396226415,41552,60822,13,-0.125759344889705,0.997197600281096,Rostelecom_Normal,0,rrc06
8,0.001618519819328,2.405523080993954e-05,0.069707381658914,0.8545380192922951,2.927906473262611,7.043316029017586e-05,583.2317422206538,2.176805946453056,2.8522046619037313,41571,60858,13,-0.125768776621511,0.997194794204012,Rostelecom_Normal,0,rrc06
9,0.001617987804739,2.4050024050024022e-05,0.069708255376648,0.856253006253006,2.928282828282828,7.042696621570573e-05,582.9523872796258,2.177128427128427,2.851298701298701,41580,60879,13,-0.125690503534705,0.9971939070646211,Rostelecom_Normal,0,rrc06
10,0.001617407699829,2.404828896424018e-05,0.070382095865229,0.8785561407305871,2.928023471130029,7.041564790366093e-05,583.0348986237035,2.181372195368299,2.840126974965731,41583,60878,13,-0.12566240167481502,0.997194997052069,Rostelecom_Normal,0,rrc06
11,0.001617044252528,2.404655412879338e-05,0.07045346956454901,0.8750300581926611,2.928677920453998,7.042630564996994e-05,583.0158437568947,2.181359111239359,2.83917664598663,41586,60896,13,-0.125644021964771,0.9971946446533001,Rostelecom_Normal,0,rrc06
12,0.0016165050984530002,2.404481954362939e-05,0.07156141667450501,0.8998773714203271,2.92904373752675,7.043002158138765e-05,583.3718779051845,2.185121065666402,2.837384885426435,41589,60908,13,-0.125587051776857,0.9971970955231391,Rostelecom_Normal,0,rrc06
13,0.001616411295221,2.4036728120568272e-05,0.07168989804343501,0.90017546811528,2.930077157897267,7.043116095133087e-05,583.497193658639,2.185323173809581,2.8374396077205972,41603,60950,13,-0.125583465202581,0.997197496663319,Rostelecom_Normal,0,rrc06
14,0.0016172387582530001,2.403672812056823e-05,0.070824012023131,0.8845035213806691,2.930029084441026,7.043000539495761e-05,583.5692975731367,2.182174362425786,2.843160349013292,41603,60949,13,-0.12566173703455502,0.9971977788205241,Rostelecom_Normal,0,rrc06
15,0.0016172000346880001,2.4031529366528915e-05,0.071659677109631,0.895943477842929,2.929972123425934,7.041340326898981e-05,583.4208297981885,2.184754397769874,2.838195712775161,41612,60961,13,-0.125648378397887,0.997197425535539,Rostelecom_Normal,0,rrc06
16,0.0016178691519430001,2.4028064779662592e-05,0.069926696651714,0.861862655581719,2.929309433418232,7.038732809712938e-05,582.7879985315558,2.177639482916046,2.854606180018261,41618,60956,13,-0.125715647383514,0.997194058544636,Rostelecom_Normal,0,rrc06
17,0.001617247753694,2.4027487445637784e-05,0.07079052824385501,0.8838511256877861,2.9297676541964,7.039664698439139e-05,583.0612830820921,2.182056272375598,2.8436531391912343,41619,60967,13,-0.125680258999349,0.9971955121386201,Rostelecom_Normal,0,rrc06
18,0.0016182103665070002,2.4025178386949534e-05,0.070945419711285,0.8835259351800681,2.92982245393172,7.039119825889484e-05,583.1812117819321,2.1823991543137202,2.842202628354515,41623,60974,13,-0.125714864049847,0.997197129408922,Rostelecom_Normal,0,rrc06
19,0.0016168486728590002,2.402229268761413e-05,0.071679351119961,0.892980686076679,2.929950994522917,7.038583117983321e-05,583.454514120299,2.18465936388969,2.83739310079754,41628,60984,13,-0.125630591198443,0.9971989065704161,Rostelecom_Normal,0,rrc06
