Timestamp,nb_A,nb_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_orign_change,nb_new_A,nb_new_A_afterW,max_path_len,avg_path_len,max_editdist,avg_editdist,editdist_7,editdist_8,editdist_9,editdist_10,editdist_11,editdist_12,editdist_13,editdist_14,editdist_15,editdist_16,editdist_17,nb_tolonger,nb_toshorter,avg_interarrival,Evento,Label,Colector
0,12338,976,8334,3084,29,1769,233,98,7,1061,33,31,491,429,21,5,16,2,115,15,14,15,9,0,2,7,0,6,0,3160,5174,1064,CenturyLink_Normal,0,rrc04
1,11850,604,8114,3208,5,1553,200,86,8,1021,33,19,184,344,23,6,16,2,32,2,217,325,4,8,8,1,0,5,0,2988,5126,1068,CenturyLink_Normal,0,rrc04
2,8025,406,4896,2682,0,1288,104,83,6,656,22,6,221,226,21,5,15,2,34,42,20,10,4,2,1,4,1,0,0,1354,3542,1072,CenturyLink_Normal,0,rrc04
3,11875,887,7545,3639,5,2317,321,82,5,1647,30,28,214,477,17,5,15,2,25,16,16,17,9,0,2,1,1,0,0,2240,5305,1068,CenturyLink_Normal,0,rrc04
4,8690,552,4966,3269,6,1472,121,67,6,745,28,14,204,251,20,5,17,2,32,1,3,2,10,1,0,0,0,4,2,1485,3481,1060,CenturyLink_Normal,0,rrc04
5,17050,543,13358,2895,8,4884,129,74,3,3596,25,18,538,259,23,4,19,2,30,22,12,509,19,6,8,2,17,7,9,4726,8632,1049,CenturyLink_Normal,0,rrc04
6,39754,595,5357,33807,2,16748,117,63,2,4592,68,11,251,339,22,5,17,2,46,14,10,5,16,1,0,0,0,0,1,1340,4017,1080,CenturyLink_Normal,0,rrc04
7,43450,533,9943,32915,5,20250,110,84,2,4051,42,13,299,293,18,5,15,2,21,12,67,2,18,2,1,3,5,0,0,1884,8059,1038,CenturyLink_Normal,0,rrc04
8,12295,469,8576,3117,2,3737,118,80,3,1374,22,22,278,324,19,5,14,2,32,11,4,7,11,0,0,2,0,0,0,3462,5114,1053,CenturyLink_Normal,0,rrc04
9,13078,552,9029,3588,8,2812,150,76,5,2372,28,20,147,314,17,5,15,2,31,8,2,9,8,7,2,1,5,0,0,2149,6880,1076,CenturyLink_Normal,0,rrc04
10,11692,501,7576,3492,3,4324,112,73,3,1806,20,7,261,363,24,5,19,2,19,3,12,6,13,1,4,3,1,4,1,3259,4317,1095,CenturyLink_Normal,0,rrc04
